title,organization,opportunity_type,category,country,location,work_mode,compensation,posted_date,deadline,source,source_url,summary
Golang-Entwickler (m/w/d) - Remote (Deutschland),Muxon,Remote work opportunities,Information Technology,Germany,Berlin,Remote,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/muxon/golang-entwickler-remote-deutschland-berlin-106446,"Golang-Entwickler (m/w/d) - Remote (Deutschland) is an opportunity with Muxon. <p><strong>Gehaltstransparenz:</strong><br> Diese Position richtet sich an Kandidat:innen mit mindestens 4 Jahren Berufserfahrung.</p> <p>Die Gehaltsspanne liegt je nach Erfahrung zwischen 65.000 € und 80.000 € brutto pro Jahr.</p> <p>Arbeitsmodell: Vollzeit, 100 % remote innerhalb Deutschlands.</p> <p>Standort: Deutschland (remote).</p>..."
Werkstudent IT Consultant (m/w/d) Test Automation - Hybrid (Hamburg),Nelta GmbH,Tenders / Consultancies,Education,Germany,Hamburg,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nelta-gmbh/werkstudent-it-consultant-test-automation-hybrid-hamburg-102406,"Werkstudent IT Consultant (m/w/d) Test Automation - Hybrid (Hamburg) is an opportunity with Nelta GmbH. <p>Du suchst nicht nur einen Job sondern Wirkung? Und einen Ort, an dem du sie entfalten kannst. Willkommen bei NELTA. Zusammen gestalten wir die digitale Welt von morgen.</p> <p>Was uns verbindet, ist mehr als Expertise. Es ist eine Haltung, die auf Vertrauen, Verbindlichkeit und Partnerschaft basiert. Diese Werte..."
HR Generalist,Nextcloud,Remote work opportunities,Information Technology,Germany,Stuttgart,Remote,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nextcloud/hr-generalist-stuttgart-43264,"HR Generalist is an opportunity with Nextcloud. <p>At Nextcloud we help our users achieve a safe home for all their data. Secure, under your control and developed in an open, transparent and trustworthy way. Our Team of >170 is distributed in 30 countries worldwide. We work remotely and our work culture is shaped by mutual trust, enthusiasm and a strong belief in the principles of open source.<br> At Nextcloud our team is..."
Technical Customer Support Specialist (Level 2),NoDi GmbH,Jobs,Information Technology,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nodi-gmbh/technical-customer-support-specialist-level-2-berlin-228879,"Technical Customer Support Specialist (Level 2) is an opportunity with NoDi GmbH. <p>We're NODI, a Berlin-based consumer electronics startup. We build the NODI Flip, a screen-free audio device for kids, with Spotify integration, voice messaging, offline content, and optional LTE. Our mission: give children music, audiobooks, and a connection to their family without putting them in front of a screen.</p> <p>As our Technical..."
Technische Kundensupport Spezialist (Level 2 - Berlin oder Düsseldorf),NoDi GmbH,Jobs,Information Technology,Germany,Düsseldorf,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nodi-gmbh/technische-kundensupport-spezialist-level-2-dusseldorf-208594,"Technische Kundensupport Spezialist (Level 2 - Berlin oder Düsseldorf) is an opportunity with NoDi GmbH. <p>Wir sind NODI, ein Consumer-Electronics-Startup aus Berlin. Mit dem NODI Flip bauen wir ein bildschirmfreies Audiogerät für Kinder mit Spotify-Anbindung, Sprachnachrichten, Offline-Inhalten und optionalem LTE.<br> Unsere Mission: Kindern Musik, Hörspiele und Verbindung zur Familie geben, ohne sie vor einen Bildschirm..."
Director Public Relations (m/w/d) Consumer Electronics,Palmer Hargreaves GmbH,Jobs,Operations & Logistics,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/palmer-hargreaves-gmbh/director-public-relations-consumer-electronics-cologne-238566,"Director Public Relations (m/w/d) Consumer Electronics is an opportunity with Palmer Hargreaves GmbH. <p>palmerhargreaves ist die Agentur für komplexe Themen und Transformationsaufgaben. Inhabergeführt und international präsent, nutzen wir die Kraft von Kreativität, Beziehungen und Technologien, um für Marken und Menschen Resonanz zu erzeugen. Wie keine andere Agentur nutzt palmerhargreaves schon heute alle Möglichkeiten..."
Social Media Marketing Praktikum (m/w/d),STARTPLATZ AI Academy,Jobs,Information Technology,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/startplatz-ai-academy/social-media-marketing-praktikum-cologne-223199,Social Media Marketing Praktikum (m/w/d) is an opportunity with STARTPLATZ AI Academy. <p>Die STARTPLATZ AI Academy bringt KI vom Konzept in die Realität. Als stark wachsendes Unternehmen in NRW bieten wir praxisnahe KI-Weiterbildungen für Privatpersonen und Unternehmen. Bei uns arbeitest du an vorderster Front der KI-Revolution - mit echter Verantwortung von Tag eins.</p> <h2>Aufgaben</h2> <ul> <li><strong>Content...
Minijobber für Versand und Logistik (m/w/d),Seed Supplier GmbH,Jobs,Operations & Logistics,Germany,Frankfurt am Main,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/seed-supplier-gmbh/minijobber-fur-versand-und-logistik-frankfurt-am-main-12518,Minijobber für Versand und Logistik (m/w/d) is an opportunity with Seed Supplier GmbH. <h2>Aufgaben</h2> <p><strong>Deine Aufgaben:</strong><br> – Bestellungen kommissionieren und versandfertig verpacken<br> – Wareneingänge prüfen und einsortieren<br> – Lagerbestand ordentlich halten</p> <h2>Qualifikation</h2> <p><strong>Das bringst du mit:</strong><br> – Sorgfältige und zuverlässige Arbeitsweise<br> – Zeitliche...
SAP Lead Consultant (m/w/d) SAP Transformation & Digital Supply Chain,Slenderiser GmbH,Tenders / Consultancies,Information Technology,Germany,Düsseldorf,Remote,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/slenderiser-gmbh/sap-lead-consultant-sap-transformation-digital-supply-chain-dusseldorf-93242,"SAP Lead Consultant (m/w/d) SAP Transformation & Digital Supply Chain is an opportunity with Slenderiser GmbH. <p>Starte mit uns durch!</p> <p>Du gestaltest ganzheitliche Supply-Chain-Transformationen von SAP ECC zu SAP S/4HANA – On-Premise sowie in der SAP S/4HANA Cloud, Private Edition und SAP S/4HANA Cloud, Public Edition.<br> Als fachlicher Lead verbindest du End-to-End-Prozessverständnis, Cloud-Architektur und..."
SAP Logistik Consultant (m/w/d),Slenderiser GmbH,Tenders / Consultancies,Operations & Logistics,Germany,Düsseldorf,Remote,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/slenderiser-gmbh/sap-logistik-consultant-dusseldorf-454230,"SAP Logistik Consultant (m/w/d) is an opportunity with Slenderiser GmbH. <p>Starte mit uns durch!</p> <p>Egal, ob Du am Anfang deiner Karriere stehst oder bereits Erfahrung gesammelt hast – wir suchen nach motivierten Talenten, die unsere Teams bereichern. Wenn Du Deine Leidenschaft für SAP in die Welt der Logistikprozesse einbringen möchtest, dann bist Du bei uns genau richtig.<br> Sei Teil eines dynamischen Teams und..."
Senior Analytics Engineer - Run & Grow,SumUp,Jobs,Information Technology,Germany,"Berlin, Germany",On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/sumup/senior-analytics-engineer-run-grow-berlin-92066,"Senior Analytics Engineer - Run & Grow is an opportunity with SumUp. <div data-testid=""markdown-response""> <div> <p id=""message"">The Run & Grow Tribe of Tribes powers the systems, insights, and experiences that keep millions of merchants engaged, successful, and growing with SumUp across every market we operate in. We're at a genuine inflection point in how we use data, moving from fragmented pipelines to a world-class..."
Team Lead SDR,Techbiz Global,Jobs,Education,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/techbiz-global/team-lead-sdr-berlin-25260,"Team Lead SDR is an opportunity with Techbiz Global. <p>At TechBiz Global, we are providing recruitment service to our TOP clients from our portfolio. We are currently looking for a</p> <p><strong>Team Lead SDR</strong> to join one of our clients' team.</p> <p>Our client is building the next generation of marketing and service technology for German SMEs. Their software combines AI, automation, and user-centered design, and..."
Leiter Finanzbuchhaltung / Rechnungswesen (m/w/d) - Immobiliengruppe,Trigon Gruppe GmbH,Jobs,Information Technology,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trigon-gruppe-gmbh/leiter-finanzbuchhaltung-rechnungswesen-immobiliengruppe-berlin-92945,"Leiter Finanzbuchhaltung / Rechnungswesen (m/w/d) - Immobiliengruppe is an opportunity with Trigon Gruppe GmbH. <p><strong>Über uns</strong></p> <p>Die Trigon Unternehmensgruppe ist ein etabliertes Berliner Immobilienunternehmen mit Fokus auf die Entwicklung, Verwaltung und Vermietung von Wohn- und Gewerbeimmobilien. Der Bestand umfasst rund 4.000 Wohn- und 300 Gewerbeeinheiten sowie Stellplätze.</p> <h2>Aufgaben</h2> <ul>..."
Technischer Property Manager / Bauleiter (w/m/d) Wohnimmobilien,Trigon Gruppe GmbH,Jobs,Business & Finance,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trigon-gruppe-gmbh/technischer-property-manager-bauleiter-wohnimmobilien-berlin-222600,"Technischer Property Manager / Bauleiter (w/m/d) Wohnimmobilien is an opportunity with Trigon Gruppe GmbH. <p><strong>Über uns</strong><br> Die <strong>Trigon Unternehmensgruppe</strong> ist ein etabliertes Berliner Immobilienunternehmen mit Fokus auf die Entwicklung, Verwaltung und Vermietung von Wohn- und Gewerbeimmobilien. Der Bestand umfasst rund <strong>4.000 Wohn- und 300 Gewerbeeinheiten</strong> sowie..."
Forward Deployed Engineer - Integrations & Customer Success (f/m/d),VOIDS Technology GmbH,Tenders / Consultancies,Information Technology,Germany,Hamburg,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/voids-technology-gmbh/forward-deployed-engineer-integrations-customer-success-hamburg-98920,"Forward Deployed Engineer - Integrations & Customer Success (f/m/d) is an opportunity with VOIDS Technology GmbH. <p><strong>We maximize product availability with minimal cashflow investment in 1/10 of the time. We solve a real problem for SMEs. With AI.</strong></p> <p>VOIDS is the AI brain for mid-size Shopify brands inventory. We forecast demand at the product level, catch stockouts and inefficiencies before they..."
Compiler / Software Engineer,Variant Security,Jobs,Information Technology,Germany,Bochum,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/variant-security/compiler-software-engineer-bochum-423612,"Compiler / Software Engineer is an opportunity with Variant Security. <p><strong>About Variant Security</strong></p> <p>Variant Security is securing the world's critical fleets for the AI era. Today nearly every device runs identical software, so a single exploit can cascade across an entire fleet of satellites, drones, vehicles, and defense systems, and AI has made finding that one exploit cheaper than ever. Variant..."
(Senior) AI Engineer & Technical Project Lead (Köln) (w/d/m),WEBUILDAI GmbH,Jobs,Information Technology,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/webuildai-gmbh/senior-ai-engineer-technical-project-lead-koln-cologne-69952,"(Senior) AI Engineer & Technical Project Lead (Köln) (w/d/m) is an opportunity with WEBUILDAI GmbH. <p>Wir sind WE BUILD AI, eine AI-Boutique aus Köln. Wir bauen Data- und AI-Solutions für den Mittelstand und Konzerne in Deutschland. Bei uns entstehen Systeme, die in Produktion gehen und Geld verdienen oder sparen. PoCs für die Schublade machen andere.</p> <p>Wir bauen hier ein Unternehmen, das in den nächsten Jahren..."
Creative Director (m/w/d),benuta GmbH,Jobs,Business & Finance,Germany,Bonn,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/benuta-gmbh/creative-director-bonn-84580,"Creative Director (m/w/d) is an opportunity with benuta GmbH. <p><span style=""color: #121317"">Du weißt, wie man aus Bildern eine echte Marke macht? Du hast ein unfehlbares Auge für Ästhetik, denkst Marke nicht in Silos, sondern als ganzheitliches Erlebnis und brennst darauf, den visuellen Auftritt des europäischen Marktführers im Teppich-E-Commerce entscheidend zu prägen? Dann ist das hier deine nächste Challenge: Bei..."
Full Stack Software Engineer (m/w/d) Software Systems,citema systems GmbH,Jobs,Information Technology,Germany,Munich,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/citema-systems-gmbh/full-stack-software-engineer-software-systems-munich-243719,"Full Stack Software Engineer (m/w/d) Software Systems is an opportunity with citema systems GmbH. <p><strong>Driving Digital Technologies</strong><br> Den digitalen Wandel begleiten und aktiv mitgestalten – unsere Mission bei citema. Mit unseren innovativen Ansätzen beraten und unterstützen wir unsere Kunden in den Technologiefeldern Cyber Security, KI und Blockchain. Ebenso gehört die Umsetzung system- und..."
Test Engineer (m/w/d),citema systems GmbH,Jobs,Information Technology,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/citema-systems-gmbh/test-engineer-berlin-145343,"Test Engineer (m/w/d) is an opportunity with citema systems GmbH. <p><strong>Driving Digital Technologies.</strong><br> Den digitalen Wandel begleiten und aktiv mitgestalten – unsere Mission bei citema. Mit unseren innovativen Ansätzen beraten und unterstützen wir unsere Kunden in den Technologiefeldern Cyber Security, KI und Blockchain. Ebenso gehört die Umsetzung system- und sicherheitsrelevanter Softwareprojekte zu..."
(Senior) Creator Marketing Coordinator (m/w/d),gocomo GmbH,Jobs,Business & Finance,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/gocomo-gmbh/senior-creator-marketing-coordinator-berlin-417088,"(Senior) Creator Marketing Coordinator (m/w/d) is an opportunity with gocomo GmbH. <h2>Deine Rolle</h2> <p>Du weißt, was erfolgreiche Creator-Kampagnen ausmacht, erkennst Trends bevor sie viral gehen und hast ein Gespür für starke Markenstrategien? Dann bist du hier genau richtig!</p> <p>In dieser Rolle bringst du dein strategisches Know-how ein, arbeitest auf Augenhöhe mit Kunden und Creators und gestaltest innovative..."
Creator Marketing Coordinator (m/w/d),gocomo GmbH,Jobs,Business & Finance,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/gocomo-gmbh/creator-marketing-coordinator-berlin-203666,"Creator Marketing Coordinator (m/w/d) is an opportunity with gocomo GmbH. <h2>Deine Rolle</h2> <p>Du hast bereits Erfahrung im Influencer Marketing, weißt, wie man Kampagnen steuert, und liebst es, Marken mit den richtigen Creators zu vernetzen? Dann ist das deine Chance, noch mehr Impact zu schaffen!</p> <p>In dieser Rolle koordinierst du kreative Kampagnen, hältst die Fäden zwischen Kunden, Creators und internen Teams..."
Influencer Marketing Manager (m/w/d),gocomo GmbH,Jobs,Business & Finance,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/gocomo-gmbh/influencer-marketing-manager-berlin-247002,"Influencer Marketing Manager (m/w/d) is an opportunity with gocomo GmbH. <h2>Deine Rolle</h2> <p>Du hast bereits Erfahrung im Influencer Marketing, weißt, wie man Kampagnen steuert, und liebst es, Marken mit den richtigen Creators zu vernetzen? Dann ist das deine Chance, noch mehr Impact zu schaffen!</p> <p>In dieser Rolle koordinierst du kreative Kampagnen, hältst die Fäden zwischen Kunden, Creators und internen Teams..."
Junior SEO / GEO Consultant (m/w/d) in einer besonderen Online Marketing Agentur,morefire GmbH,Tenders / Consultancies,Information Technology,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/morefire-gmbh/junior-seo-geo-consultant-in-einer-besonderen-online-marketing-agentur-cologne-85382,"Junior SEO / GEO Consultant (m/w/d) in einer besonderen Online Marketing Agentur is an opportunity with morefire GmbH. <p>Bei morefire brennen wir für Performance, aber vor allem für Menschen. Als inhabergeführte Agentur mit rund 115 leidenschaftlichen Köpfen in Köln begleiten wir unsere Kund:innen sowohl in Spezialdisziplinen als auch ganzheitlich übergreifend. Unser Antrieb: Echter Erfolg entsteht aus Teamwork..."
Berlin Office Manager/Team Assistant (m/f/d) – Part-Time (Temporary Position to Cover Parental Leave) - mrge,mrge - commerce advertising,Jobs,Information Technology,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/mrge-commerce-advertising/berlin-office-manager-team-assistant-part-time-temporary-position-to-cover-parental-leave-mrge-296520,"Berlin Office Manager/Team Assistant (m/f/d) – Part-Time (Temporary Position to Cover Parental Leave) - mrge is an opportunity with mrge - commerce advertising. <h2>Looking for an exciting challenge?</h2> <p>Join us on our mission to become a global leader in commerce advertising and performance marketing.</p> <p>Our five companies digidip, shopping24, Sourceknowledge, Yieldkit, and MaxBounty make up the mrge Group..."
Berlin Office Manager/Team Assistant (m/f/d) – Part-Time (Temporary Position to Cover Parental Leave) - mrge,mrge - commerce advertising,Jobs,Business & Finance,Germany,Berlin,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/mrge-commerce-advertising/berlin-office-manager-team-assistant-part-time-temporary-position-to-cover-parental-leave-mrge-143856,"Berlin Office Manager/Team Assistant (m/f/d) – Part-Time (Temporary Position to Cover Parental Leave) - mrge is an opportunity with mrge - commerce advertising. <h2>Auf der Suche nach einer spannenden Herausforderung?</h2> <p>Begleite uns auf unserer Mission, ein globaler Champion im Bereich Commerce Advertising und Performance Marketing zu werden.</p> <p>Unsere fünf Unternehmen digidip, shopping24, Sourceknowledge..."
Werkstudent:in Planung & Angebotserstellung (m/w/d) in Köln / Hamburg / Essen,nanuq GmbH,Jobs,Education,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/nanuq-gmbh/werkstudentin-planung-angebotserstellung-in-koln-hamburg-essen-cologne-70122,"Werkstudent:in Planung & Angebotserstellung (m/w/d) in Köln / Hamburg / Essen is an opportunity with nanuq GmbH. <p>Bau mit uns die Grundlage für den E-Lkw-Verkehr in Europa.</p> <p>**Unsere Mission<br> **Lust, die Verkehrswende nicht nur zu beobachten, sondern sie konkret zu bauen?<br> Wir bei nanuq entwickeln die Plattform für elektrische Lkw-Flotten – von intelligenter Ladeinfrastruktur über Stromverkauf bis zur..."
IT-System Engineer (m/w/d),think about IT GmbH,Jobs,Information Technology,Germany,Bochum,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/it-system-engineer-bochum-385344,"IT-System Engineer (m/w/d) is an opportunity with think about IT GmbH. <p>Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf..."
IT-Systemelektroniker (m/w/d),think about IT GmbH,Jobs,Information Technology,Germany,Bochum,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/it-systemelektroniker-bochum-136251,"IT-Systemelektroniker (m/w/d) is an opportunity with think about IT GmbH. <p>Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf..."
Senior IT Administrator (m/w/d),think about IT GmbH,Jobs,Information Technology,Germany,Bochum,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/senior-it-administrator-bochum-145398,"Senior IT Administrator (m/w/d) is an opportunity with think about IT GmbH. <p>Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf..."
Service Desk Spezialist - Onsite in Köln (m/w/d),think about IT GmbH,Jobs,Information Technology,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/service-desk-spezialist-onsite-in-koln-cologne-179240,"Service Desk Spezialist - Onsite in Köln (m/w/d) is an opportunity with think about IT GmbH. <p>Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender..."
Service Desk Spezialist - Onsite in Köln (m/w/d),think about IT GmbH,Jobs,Information Technology,Germany,Cologne,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/service-desk-spezialist-onsite-in-koln-cologne-374223,"Service Desk Spezialist - Onsite in Köln (m/w/d) is an opportunity with think about IT GmbH. <p>Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender..."
Team Lead Accounting (m/w/d),think about IT GmbH,Jobs,Information Technology,Germany,Bochum,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/think-about-it-gmbh/team-lead-accounting-bochum-3719,"Team Lead Accounting (m/w/d) is an opportunity with think about IT GmbH. <p>Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf..."
"Vertriebsingenieur:in Technical Sales Mngm. Sicherheitstechnik, Stuttgart, 80.000-100.000",wabcon,Jobs,Information Technology,Germany,Stuttgart,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/wabcon/vertriebsingenieurin-technical-sales-mngm-sicherheitstechnik-stuttgart-80000-100000-37958,"Vertriebsingenieur:in Technical Sales Mngm. Sicherheitstechnik, Stuttgart, 80.000-100.000 is an opportunity with wabcon. <p>Unser Kunde ist einer der Marktführer im Bereich Sicherheitstechnologie<br> und mehrfach ausgezeichnet als bester Arbeitgeber Deutschlands. Im<br> Kundenauftrag suchen wir einen Technical Sales Manager (m/w/d)<br> Sicherheitstechnik. Sollten Sie bereits Erfahrung im Bereich<br> Sicherheitstechnik..."
Herzliches Team sucht Dich - IT Systemadministrator (m/w/d) gesucht,Intercon Solutions GmbH,Jobs,Information Technology,Herford,Herford,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/intercon-solutions-gmbh/herzliches-team-sucht-dich-it-systemadministrator-gesucht-herford-167610,Herzliches Team sucht Dich - IT Systemadministrator (m/w/d) gesucht is an opportunity with Intercon Solutions GmbH. <p>Gestalte mit uns die IT von morgen!</p> <p>Du begeisterst dich für moderne IT-Infrastrukturen und möchtest in einem innovativen Umfeld Verantwortung übernehmen? Dann bist du bei uns genau richtig! Als Systemadministrator (m/w/d) sorgst du gemeinsam mit unserem Team für einen reibungslosen IT-Betrieb und...
Projektleiter Service (m/w/d),"Göhler GmbH & Co. KG, Anlagentechnik",Jobs,Operations & Logistics,Hösbach,Hösbach,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/gohler-gmbh-co-kg-anlagentechnik/projektleiter-service-hosbach-137787,"Projektleiter Service (m/w/d) is an opportunity with Göhler GmbH & Co. KG, Anlagentechnik. <h2>Jobbeschreibung</h2> <p>Eine spannende Herausforderung in einem anspruchsvollen und zukunftsorientierten Umfeld wartet auf Dich! Wir bieten Dir abwechslungsreiche und verantwortungsvolle Aufgaben im Bereich Industrie-Service für Anlagentechnik mit einem starken Göhler-Team an Deiner Seite.</p> <p>Zur Verstärkung unseres Teams am..."
SAP HCM Berater (m/w/d),HR Team Consult GmbH,Jobs,Operations & Logistics,Karlsfeld,Karlsfeld,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/hr-team-consult-gmbh/sap-hcm-berater-karlsfeld-488311,"SAP HCM Berater (m/w/d) is an opportunity with HR Team Consult GmbH. <p>Als zukunftsorientiertes und wachsendes Unternehmen bietet Ihnen die HR Team<br> Consult GmbH mit flachen Hierarchien vielfältige Entwicklungsmöglichkeiten<br> innerhalb des Unternehmens. Als Teamplayer erwartet Sie eine spannende Arbeit –<br> remote sowie vor Ort beim Kunden – als Festanstellung mit einem attraktiven<br> Grundgehalt, zusätzlicher..."
Schädlingsbekämpfer (m/w/d) | 32.000 - 45.000 € + Dienstwagen zur Privatnutzung,Riverstate Premium Recruiting,Jobs,Information Technology,Karlsruhe,Karlsruhe,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/riverstate-premium-recruiting/schadlingsbekampfer-32000-45000-eur-dienstwagen-zur-privatnutzung-karlsruhe-443146,"Schädlingsbekämpfer (m/w/d) | 32.000 - 45.000 € + Dienstwagen zur Privatnutzung is an opportunity with Riverstate Premium Recruiting. <p>Sie sind ausgebildeter Schädlingsbekämpfer und auf der Suche nach neuen beruflichen Chancen? Dann könnte sich dieses Angebot in der Schädlingsbekämpfung für Sie lohnen!</p> <p>Es erwartet Sie eine interessante und abwechslungsreiche Tätigkeit, je nach Erfahrung ein Jahreseinstiegsgehalt..."
Monitoring & Observability Engineer (m/w/x),K-tronik GmbH,Jobs,Information Technology,Kiel,Kiel,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/monitoring-observability-engineer-kiel-61148,"Monitoring & Observability Engineer (m/w/x) is an opportunity with K-tronik GmbH. <h2>Projektbeschreibung:</h2> <p>Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Funk- und Kommunikationsbranche suchen wir einen Monitoring & Observability Engineer (m/w/x) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennen zu lernen - und gemeinsam mit..."
"Social Media Manager (m/w/d) - Content, Community & Partnerbetreuung",ENERDOMO Franchisezentrale,Jobs,Communications,Königstein im Taunus,Königstein im Taunus,On-site,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/enerdomo-franchisezentrale/social-media-manager-content-community-partnerbetreuung-konigstein-im-taunus-59331,"Social Media Manager (m/w/d) - Content, Community & Partnerbetreuung is an opportunity with ENERDOMO Franchisezentrale. <p><strong>Wo?</strong> ENERDOMO® Franchise-Systemzentrale in Königstein im Taunus – unweit der Rhein-Main-Metropole Frankfurt.</p> <p><strong>Vertragsart:</strong> Vollzeit<br> <strong>Arbeitsort:</strong> Vor Ort in Königstein im Taunus<br> <strong>Start:</strong> So bald wie möglich</p> <p>Deine Bühne..."
Head of Direct Response & CRO (Senior),agencro,Remote work opportunities,Education,Landau,Landau,Remote,Not specified,2026-07-21,,Arbeitnow,https://www.arbeitnow.com/jobs/companies/agencro/head-of-direct-response-cro-senior-landau-449476,"Head of Direct Response & CRO (Senior) is an opportunity with agencro. <p>Hey, ich bin Yannic, Co-Founder von agencro, eine CRO- und Direct-Response-Agentur für E-Commerce-Brands: Advertorials, Landingpages, Online-Shops und Email für unsere Kunden - dazu mittlerweile auch einige eigene Projekte, für die wir auch selbst Paid Ads schalten.</p> <p>Wir arbeiten AI-first: AI übernimmt das Volumen, ein kleines Team mit Urteil..."
