id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
eswatini-embassies-high-commissions-and-foreign-missions-in-eswatini-embassies-and-high-co,"Embassies, high commissions and foreign missions in Eswatini",https://www.google.com/search?q=%22Eswatini%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Eswatini,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Eswatini"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
eswatini-united-nations-in-eswatini-un-country-team-un-agency-country-offices-un-country-t,United Nations in Eswatini / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Eswatini%22+OR+%22UN+Country+Team+Eswatini%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Eswatini,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Eswatini"" OR ""UN Country Team Eswatini"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
eswatini-international-ngo-country-offices-in-eswatini-ingo-country-offices,International NGO country offices in Eswatini,https://www.google.com/search?q=%22Eswatini%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Eswatini,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Eswatini"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
eswatini-donors-bilateral-agencies-contractors-and-development-programmes-in-eswatini-dono,"Donors, bilateral agencies, contractors and development programmes in Eswatini",https://www.google.com/search?q=%22Eswatini%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Eswatini,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Eswatini"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-ethiopia-public-service-commission-civil-service-commission-civil-service-agency-,Ethiopia Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Ethiopia%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Ethiopia,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Ethiopia"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-ethiopia-ministry-responsible-for-labour-employment-manpower-social-protection-or,"Ethiopia ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Ethiopia%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Ethiopia,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Ethiopia"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-ethiopia-national-universities-and-public-research-institutions-career-pages-nati,Ethiopia national universities and public research institutions career pages,https://www.google.com/search?q=%22Ethiopia%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Ethiopia,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Ethiopia"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-embassies-high-commissions-and-foreign-missions-in-ethiopia-embassies-and-high-co,"Embassies, high commissions and foreign missions in Ethiopia",https://www.google.com/search?q=%22Ethiopia%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Ethiopia,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Ethiopia"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-united-nations-in-ethiopia-un-country-team-un-agency-country-offices-un-country-t,United Nations in Ethiopia / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Ethiopia%22+OR+%22UN+Country+Team+Ethiopia%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Ethiopia,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Ethiopia"" OR ""UN Country Team Ethiopia"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-international-ngo-country-offices-in-ethiopia-ingo-country-offices,International NGO country offices in Ethiopia,https://www.google.com/search?q=%22Ethiopia%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Ethiopia,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Ethiopia"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
ethiopia-donors-bilateral-agencies-contractors-and-development-programmes-in-ethiopia-dono,"Donors, bilateral agencies, contractors and development programmes in Ethiopia",https://www.google.com/search?q=%22Ethiopia%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Ethiopia,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Ethiopia"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-fiji-public-service-commission-civil-service-commission-civil-service-agency-public-s,Fiji Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Fiji%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Fiji,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Fiji"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-fiji-ministry-responsible-for-labour-employment-manpower-social-protection-or-workfor,"Fiji ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Fiji%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Fiji,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Fiji"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-fiji-national-universities-and-public-research-institutions-career-pages-national-uni,Fiji national universities and public research institutions career pages,https://www.google.com/search?q=%22Fiji%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Fiji,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Fiji"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-embassies-high-commissions-and-foreign-missions-in-fiji-embassies-and-high-commission,"Embassies, high commissions and foreign missions in Fiji",https://www.google.com/search?q=%22Fiji%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Fiji,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Fiji"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-united-nations-in-fiji-un-country-team-un-agency-country-offices-un-country-team-and-,United Nations in Fiji / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Fiji%22+OR+%22UN+Country+Team+Fiji%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Fiji,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Fiji"" OR ""UN Country Team Fiji"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-international-ngo-country-offices-in-fiji-ingo-country-offices,International NGO country offices in Fiji,https://www.google.com/search?q=%22Fiji%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Fiji,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Fiji"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
fiji-donors-bilateral-agencies-contractors-and-development-programmes-in-fiji-donors-contr,"Donors, bilateral agencies, contractors and development programmes in Fiji",https://www.google.com/search?q=%22Fiji%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Fiji,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Fiji"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-finland-public-service-commission-civil-service-commission-civil-service-agency-pu,Finland Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Finland%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Finland,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Finland"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-finland-ministry-responsible-for-labour-employment-manpower-social-protection-or-w,"Finland ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Finland%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Finland,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Finland"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-finland-national-universities-and-public-research-institutions-career-pages-nation,Finland national universities and public research institutions career pages,https://www.google.com/search?q=%22Finland%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Finland,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Finland"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-embassies-high-commissions-and-foreign-missions-in-finland-embassies-and-high-comm,"Embassies, high commissions and foreign missions in Finland",https://www.google.com/search?q=%22Finland%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Finland,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Finland"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-united-nations-in-finland-un-country-team-un-agency-country-offices-un-country-tea,United Nations in Finland / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Finland%22+OR+%22UN+Country+Team+Finland%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Finland,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Finland"" OR ""UN Country Team Finland"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-international-ngo-country-offices-in-finland-ingo-country-offices,International NGO country offices in Finland,https://www.google.com/search?q=%22Finland%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Finland,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Finland"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
finland-donors-bilateral-agencies-contractors-and-development-programmes-in-finland-donors,"Donors, bilateral agencies, contractors and development programmes in Finland",https://www.google.com/search?q=%22Finland%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Finland,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Finland"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-france-public-service-commission-civil-service-commission-civil-service-agency-publ,France Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22France%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",France,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""France"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-france-ministry-responsible-for-labour-employment-manpower-social-protection-or-wor,"France ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22France%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",France,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""France"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-france-national-universities-and-public-research-institutions-career-pages-national,France national universities and public research institutions career pages,https://www.google.com/search?q=%22France%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",France,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""France"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-embassies-high-commissions-and-foreign-missions-in-france-embassies-and-high-commis,"Embassies, high commissions and foreign missions in France",https://www.google.com/search?q=%22France%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",France,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""France"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-united-nations-in-france-un-country-team-un-agency-country-offices-un-country-team-,United Nations in France / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+France%22+OR+%22UN+Country+Team+France%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",France,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in France"" OR ""UN Country Team France"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-international-ngo-country-offices-in-france-ingo-country-offices,International NGO country offices in France,https://www.google.com/search?q=%22France%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",France,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""France"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
france-donors-bilateral-agencies-contractors-and-development-programmes-in-france-donors-c,"Donors, bilateral agencies, contractors and development programmes in France",https://www.google.com/search?q=%22France%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",France,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""France"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
gabon-gabon-public-service-commission-civil-service-commission-civil-service-agency-public,Gabon Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Gabon%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Gabon,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Gabon"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
